price;dist;season;rating;size;rooms;area;max_guests;bathrooms;close_to_beach
6984.94;16.4;Summer;5.03;70;1;Atlantic seaboard;3;2;No
3368.67;12.74;Autumn;3.76;76;3;Atlantic seaboard;6;2;Yes
4966.64;13.45;Summer;4.4;73;2;Southern suburbs;4;2;No
5828.09;11.2;Summer;3.38;53;2;Atlantic seaboard;2;1;No
4817.47;16.86;Summer;4.54;66;1;Atlantic seaboard;3;1;No
5691.53;17.8;Autumn;4.78;70;2;Atlantic seaboard;4;1;Yes
4553.1;15.64;Summer;3.92;86;1;Bloubergstrand region;3;2;Yes
4504.4;12.18;Spring;4.19;66;2;City bowl;4;3;No
5302.28;12.44;Autumn;4.49;74;2;Atlantic seaboard;3;2;No
5484.48;16.09;Spring;4.65;61;1;Atlantic seaboard;3;3;Yes
4240.44;11.07;Autumn;3.64;69;1;City bowl;3;1;Yes
7547.41;17.33;Summer;4.63;84;2;Bloubergstrand region;3;1;Yes
5083.45;9.57;Autumn;5.19;78;1;Bloubergstrand region;3;1;Yes
4412.59;16.86;Winter;3.61;60;3;Atlantic seaboard;6;3;Yes
5885.35;13.38;Autumn;4.97;68;2;City bowl;4;2;No
6834.09;12.66;Summer;4.01;67;2;City bowl;4;2;Yes
8534.08;17.23;Summer;4.67;69;3;Atlantic seaboard;6;3;Yes
5434.22;17.4;Spring;3.87;60;2;Atlantic seaboard;4;2;Yes
4614.99;14.89;Autumn;4.3;74;2;Atlantic seaboard;4;1;No
4746.69;19.39;Spring;3.72;67;3;Bloubergstrand region;6;2;Yes
3927.07;17.48;Autumn;4.16;61;2;Southern suburbs;4;3;No
6765.28;15.19;Autumn;4.37;67;1;Atlantic seaboard;3;1;No
6371.42;15.59;Summer;5.91;83;3;Bloubergstrand region;5;2;Yes
4883.46;15.83;Summer;4.03;74;1;Southern suburbs;2;2;Yes
4131.54;16.37;Winter;3.9;65;2;Bloubergstrand region;4;2;No
5658.13;15.33;Autumn;4.34;67;1;City bowl;1;1;No
4734.32;19.1;Autumn;3.7;54;1;Southern suburbs;3;1;No
6245.83;15.21;Summer;3.66;67;2;Bloubergstrand region;3;3;No
7930.34;10.45;Summer;4.99;62;1;City bowl;3;2;Yes
4640.43;17.89;Spring;5.32;82;3;Bloubergstrand region;6;2;Yes
6966.55;15.28;Summer;3.86;72;2;City bowl;3;2;No
7016.38;12.14;Summer;4.45;65;3;Atlantic seaboard;5;2;No
7968.2;16.7;Summer;3.82;77;2;Southern suburbs;4;2;Yes
4945.61;15.91;Summer;5.49;74;2;Atlantic seaboard;4;3;Yes
4994.88;17.39;Summer;5.03;75;2;Atlantic seaboard;4;2;Yes
4848.12;15.09;Summer;5.19;60;3;Atlantic seaboard;6;3;No
6817.28;18.71;Summer;3.4;66;3;City bowl;3;3;No
5390.7;17.75;Summer;5.69;75;2;Atlantic seaboard;4;2;No
5552.16;16.13;Spring;6.26;81;2;Atlantic seaboard;3;3;Yes
5454.79;15.87;Autumn;3.86;75;1;Southern suburbs;3;2;No
4597.55;13.99;Summer;3.48;68;2;Southern suburbs;2;1;Yes
6359.9;13.88;Summer;4.81;82;1;City bowl;3;2;No
4390.79;13.39;Autumn;4.38;63;2;Atlantic seaboard;4;1;No
3982.04;18.11;Summer;3.79;67;2;City bowl;4;1;No
4107.53;18.47;Summer;3.84;70;1;Atlantic seaboard;3;2;No
4137.46;16.32;Winter;4.12;72;2;Bloubergstrand region;4;2;No
5458.37;16.07;Summer;3.49;65;1;City bowl;3;2;Yes
5970.68;18.8;Spring;5.12;74;3;City bowl;6;2;No
3998.27;15.65;Summer;3.74;67;1;Atlantic seaboard;3;2;No
6010.27;19.32;Spring;4.92;87;2;Atlantic seaboard;4;2;Yes
6774.91;13.72;Summer;3.91;70;3;Atlantic seaboard;6;2;Yes
5634.76;11.94;Summer;4.9;71;2;Bloubergstrand region;4;2;No
5411.73;13.96;Summer;3.41;68;1;Southern suburbs;3;1;No
5374.52;19.12;Summer;4.58;74;2;Bloubergstrand region;4;3;Yes
4407.77;11.18;Autumn;4.48;69;2;City bowl;4;2;Yes
8369.89;17.29;Autumn;5.81;81;3;Atlantic seaboard;5;3;Yes
5982.45;13.19;Spring;4.19;80;2;Atlantic seaboard;4;1;Yes
9094.42;15.62;Autumn;5.04;68;3;Bloubergstrand region;3;3;No
5206.79;16.96;Autumn;4.76;61;1;Bloubergstrand region;3;1;Yes
7943.46;13.15;Spring;3.86;59;3;Southern suburbs;6;3;Yes
5365.5;21.16;Autumn;4.23;76;3;Atlantic seaboard;6;3;No
5655.19;10.62;Autumn;3.96;52;2;Southern suburbs;4;1;No
5105.13;11.01;Autumn;4.65;61;2;Atlantic seaboard;4;2;Yes
4853.29;18.7;Summer;4.88;73;2;City bowl;4;2;No
4640.32;19.9;Winter;4.11;65;2;Bloubergstrand region;4;1;No
6206.13;11.86;Summer;4.37;60;1;City bowl;3;2;Yes
3127.02;12.64;Winter;4.27;68;2;Bloubergstrand region;4;3;Yes
4984.58;13.09;Spring;3.71;65;3;Atlantic seaboard;6;2;No
5181.18;11.67;Autumn;3.78;71;1;Atlantic seaboard;2;2;Yes
4653.49;16.91;Winter;3.89;60;2;Bloubergstrand region;4;3;Yes
5108.81;17.17;Summer;5.31;68;2;City bowl;4;3;No
7964.19;17.11;Spring;4.86;76;2;Southern suburbs;4;1;No
3563.06;10.81;Summer;4.2;49;2;City bowl;3;1;No
6072.24;16.61;Autumn;5.39;70;2;Atlantic seaboard;4;3;No
7042.03;17.19;Summer;3.95;79;3;City bowl;5;3;No
5723.08;15.44;Autumn;5.36;74;2;Atlantic seaboard;4;2;No
5869.46;15.31;Winter;3.85;68;2;Atlantic seaboard;3;2;Yes
10120.43;21.27;Summer;4.95;73;2;Atlantic seaboard;4;1;Yes
5877.6;14.71;Autumn;4.38;67;2;Bloubergstrand region;3;2;Yes
3692.69;15.04;Spring;2.45;56;1;City bowl;3;2;Yes
4142.84;16.97;Winter;5.34;66;1;City bowl;3;1;Yes
6204.96;11.41;Winter;4.02;68;3;Atlantic seaboard;6;3;Yes
6524.73;19.03;Autumn;4.92;70;2;Bloubergstrand region;4;2;No
4232.76;15.57;Autumn;3.99;66;2;Southern suburbs;4;3;Yes
7159.02;16.63;Spring;4.97;75;3;Bloubergstrand region;6;2;Yes
5844.33;11.79;Summer;4.06;53;3;Southern suburbs;5;2;No
5186.5;13.27;Autumn;3.95;57;2;Atlantic seaboard;2;2;No
3707.43;16.18;Summer;3.53;61;2;City bowl;4;2;No
6083.72;15.06;Autumn;4.44;75;3;Bloubergstrand region;6;3;No
5651.24;20.3;Winter;4.81;79;3;Bloubergstrand region;5;2;Yes
7658.57;19.49;Autumn;3.58;73;3;City bowl;3;2;No
8106.41;19.31;Autumn;4.68;77;2;Bloubergstrand region;4;2;Yes
8777.42;14.39;Summer;3.9;61;1;Atlantic seaboard;3;2;No
5749.55;21.36;Spring;5.28;82;2;Atlantic seaboard;4;2;Yes
4213.15;11.56;Summer;4.22;60;2;Atlantic seaboard;4;2;Yes
4658.01;14.11;Summer;4.51;73;1;City bowl;3;2;Yes
4803.39;16.1;Autumn;3.3;68;1;Southern suburbs;3;3;Yes
6277.66;14.75;Autumn;3.77;74;1;City bowl;2;2;No
4019.51;10.37;Winter;2.98;59;1;City bowl;3;1;Yes
5657.93;13.57;Summer;4.45;62;1;Bloubergstrand region;2;1;Yes
4526.53;23.9;Summer;5.72;81;2;Bloubergstrand region;4;2;No
4604.79;15.58;Autumn;3.78;61;2;City bowl;4;2;No
6341.91;16.11;Winter;4.61;69;2;City bowl;4;2;No
7213.21;15.01;Summer;4.48;65;2;Southern suburbs;2;2;No
4609.49;13.06;Spring;3.65;68;1;City bowl;3;1;No
6898.18;20.68;Spring;4.86;77;2;City bowl;4;2;No
4568.86;15.08;Autumn;4.15;54;1;City bowl;1;1;No
6180.08;17.46;Spring;4.95;79;1;Atlantic seaboard;2;1;No
6649.58;11.67;Summer;3.78;72;1;City bowl;3;2;No
4579.97;12.87;Summer;3.54;57;1;City bowl;1;1;Yes
7157.55;14.76;Autumn;5.67;74;3;Atlantic seaboard;6;2;No
6893.19;14.45;Summer;3.77;81;3;City bowl;6;2;Yes
4798.03;15.26;Summer;4.92;72;1;City bowl;3;2;Yes
8838.77;11.63;Summer;3.99;67;2;Southern suburbs;4;3;No
5971.28;15.03;Spring;4.59;67;2;Atlantic seaboard;4;2;Yes
8086.52;12.52;Summer;5.09;71;1;Atlantic seaboard;3;1;No
3830.88;19.67;Summer;3.88;70;2;City bowl;4;2;No
5602.93;20.6;Summer;4.97;73;2;Atlantic seaboard;4;3;No
6305.2;16.23;Summer;4.74;76;2;Bloubergstrand region;4;2;Yes
6054.89;13.96;Autumn;4.88;75;1;Atlantic seaboard;3;2;Yes
4528.64;14.44;Spring;3.93;70;2;Bloubergstrand region;3;1;No
5886.6;16.15;Summer;5.22;80;2;Southern suburbs;4;3;No
4882.5;9.98;Autumn;3.38;59;2;Southern suburbs;3;3;Yes
6076.41;18.78;Autumn;3.98;70;1;Southern suburbs;3;1;No
5261.71;10.7;Summer;3.89;70;1;Southern suburbs;3;1;Yes
5105.81;19.6;Summer;4.61;66;2;City bowl;4;3;Yes
7567.72;16.89;Summer;4.26;73;2;Bloubergstrand region;4;2;No
7517.19;14.69;Summer;5.08;66;2;Atlantic seaboard;4;1;Yes
6488.62;13.85;Summer;4.14;68;1;Bloubergstrand region;3;1;No
4593.98;17.77;Summer;4.54;75;2;City bowl;4;3;No
6377.61;15.56;Winter;5.37;81;3;Atlantic seaboard;6;3;No
7093.72;14.31;Summer;3.89;65;2;Atlantic seaboard;3;2;No
4822.04;16.33;Autumn;4.98;69;3;City bowl;6;3;Yes
6059.89;18.39;Spring;5.55;78;3;Atlantic seaboard;5;3;No
5190.03;16.66;Autumn;5.62;74;2;Bloubergstrand region;4;2;No
4701.56;12.11;Autumn;3.83;81;3;Atlantic seaboard;5;2;Yes
6042.88;13.53;Summer;3.84;67;2;Bloubergstrand region;3;3;No
10544.8;13.8;Summer;3.8;81;1;Southern suburbs;3;1;Yes
5893.58;11.63;Autumn;3.98;67;2;City bowl;4;3;Yes
6664.03;18.79;Summer;4.76;69;2;Atlantic seaboard;4;2;No
4675.82;14.81;Autumn;3.85;70;1;Atlantic seaboard;3;1;Yes
7276.55;11.52;Autumn;4.22;67;2;City bowl;4;2;Yes
4747.5;8.99;Summer;3.71;70;2;City bowl;4;2;No
3532.48;11.32;Winter;4.05;73;3;Bloubergstrand region;5;2;No
6131.22;18.06;Autumn;3.42;60;1;City bowl;3;1;No
5607.93;13.16;Autumn;3.6;72;1;Southern suburbs;3;1;Yes
8474.22;16.15;Summer;3.48;58;2;Bloubergstrand region;4;2;Yes
6760.57;19.52;Summer;4.7;76;2;Bloubergstrand region;4;3;Yes
7974.17;12.55;Spring;3.23;74;2;Bloubergstrand region;4;1;Yes
6149.1;16.29;Autumn;4.23;77;3;City bowl;3;2;No
4586.92;14;Autumn;5.76;74;2;Atlantic seaboard;2;2;Yes
4252.58;15.07;Winter;4.38;79;3;Southern suburbs;5;3;Yes
5678.7;18.19;Summer;4.48;64;2;Atlantic seaboard;4;2;No
6803.18;14.29;Autumn;4.12;61;1;City bowl;3;1;Yes
8723.74;18.86;Spring;4.75;72;2;Southern suburbs;2;1;Yes
4812.63;16.39;Summer;3.35;82;1;Southern suburbs;3;1;No
8236.2;21.18;Summer;6.3;71;2;City bowl;4;1;No
6523.06;14.59;Summer;5.23;67;2;City bowl;4;3;No
4609.06;12.58;Summer;5.18;78;3;Atlantic seaboard;6;3;No
3860.95;17.26;Summer;3.1;66;2;Southern suburbs;3;3;No
5620.24;13.39;Spring;2.86;62;3;Southern suburbs;6;3;Yes
7268.5;10.15;Autumn;6.66;70;1;Atlantic seaboard;3;2;No
4999.62;12.28;Winter;4;63;1;Atlantic seaboard;3;2;Yes
4318.33;15.37;Summer;4.68;62;2;Southern suburbs;4;2;Yes
6302.42;14.02;Winter;5.04;67;1;Bloubergstrand region;3;2;No
4266.96;8.25;Autumn;4.22;64;2;City bowl;4;3;Yes
6865.71;14.07;Summer;5.07;73;2;Bloubergstrand region;4;3;No
5967.54;10.83;Autumn;5.39;63;3;Bloubergstrand region;5;2;Yes
5585.87;13.62;Summer;2.64;68;2;Southern suburbs;4;2;No
5364.18;14.79;Summer;3.69;63;1;Atlantic seaboard;3;2;Yes
4227.56;18.78;Autumn;5.07;76;2;City bowl;4;2;No
6196.15;14.5;Summer;4.26;77;3;City bowl;3;2;No
8248.85;14.17;Autumn;3.88;70;2;Atlantic seaboard;4;3;Yes
5989.93;15.25;Summer;4.23;60;1;City bowl;3;1;Yes
6563.07;10.8;Autumn;4.46;53;1;Atlantic seaboard;2;1;No
3630.86;11.16;Spring;3.93;56;2;City bowl;4;2;No
6256.78;22.94;Winter;5.58;76;2;City bowl;4;2;Yes
6964.83;16.2;Summer;4.45;65;1;Atlantic seaboard;2;1;No
4734.07;13.17;Summer;3.58;60;1;Atlantic seaboard;3;2;No
5637.16;11.42;Winter;4.71;59;1;Atlantic seaboard;3;1;Yes
4748.97;16.71;Autumn;3.99;72;3;Atlantic seaboard;5;2;Yes
5885.08;15.99;Spring;4.36;77;3;Atlantic seaboard;6;2;No
5213.84;15.04;Spring;4.12;69;3;City bowl;3;2;No
5382.54;14.33;Summer;5.08;78;2;Atlantic seaboard;4;1;No
5631.58;11.52;Summer;4.23;53;3;Bloubergstrand region;6;3;No
6176.26;15.88;Winter;4.08;53;3;Atlantic seaboard;6;2;No
6485.23;20.31;Autumn;5.1;80;2;City bowl;2;1;No
5407.74;12.92;Summer;5.44;64;2;Bloubergstrand region;4;2;No
6054.82;17.12;Autumn;3.85;74;1;Atlantic seaboard;3;2;No
10939.38;15.04;Summer;3.94;60;1;Southern suburbs;3;1;Yes
5871.65;17.76;Autumn;5.25;71;2;City bowl;3;1;Yes
5229.01;18;Summer;3.13;64;2;Atlantic seaboard;4;2;No
5598.97;12.48;Spring;3.62;51;2;Southern suburbs;4;2;Yes
4385.24;12.22;Summer;3.54;60;2;Southern suburbs;4;2;No
5126.05;17.29;Winter;4.66;64;2;Atlantic seaboard;2;1;Yes
7259.83;14.69;Spring;4;68;2;Southern suburbs;2;1;Yes
6225.08;6.09;Autumn;4.61;71;2;Southern suburbs;4;2;No
6603.49;16.26;Winter;4.27;80;2;City bowl;4;3;No
6581.5;14.1;Spring;4.12;71;1;Atlantic seaboard;3;1;Yes
7088.56;12.81;Summer;4.7;59;3;Bloubergstrand region;6;2;No
5361.4;11.24;Summer;5.17;67;2;City bowl;4;1;No
5307.05;12.17;Summer;5.52;70;1;City bowl;3;2;Yes
4762;13.17;Summer;3.78;72;1;City bowl;2;2;Yes
5977.16;20.64;Autumn;4.99;60;2;City bowl;4;2;No
8176.83;12.43;Summer;4.42;76;3;City bowl;6;2;Yes
4005.89;16.56;Winter;3.75;67;1;Bloubergstrand region;1;1;No
4283.47;15.22;Summer;4.55;65;2;Bloubergstrand region;4;2;No
4450.5;20.14;Summer;4.73;73;2;Bloubergstrand region;2;2;No
6475.15;18.5;Summer;4.62;72;2;City bowl;4;1;Yes
3932.8;14.81;Winter;3.41;61;2;Atlantic seaboard;4;2;No
5430.74;21.06;Autumn;5.6;101;4;Bloubergstrand region;6;3;No
3760.09;13.36;Autumn;3.9;75;3;Southern suburbs;6;3;Yes
5709.72;17.44;Autumn;4.52;70;3;Southern suburbs;3;2;No
4959.63;18.35;Spring;4.83;78;2;Bloubergstrand region;4;2;No
5640.62;16.2;Autumn;4.9;74;2;Southern suburbs;4;1;No
6376.31;16.9;Summer;5.08;73;2;Atlantic seaboard;3;2;Yes
6192.05;11.35;Winter;2.76;65;1;City bowl;3;2;No
5617.92;14.66;Spring;4.16;75;4;Bloubergstrand region;6;2;No
5237.31;13.84;Spring;5.24;71;1;City bowl;1;1;No
3561.08;12.3;Winter;4.51;72;2;City bowl;4;2;Yes
6944.94;15.61;Summer;3.55;62;2;City bowl;4;1;Yes
5439.72;16.26;Summer;3.85;64;2;Bloubergstrand region;4;3;No
7332.28;17.47;Summer;4.74;72;1;Atlantic seaboard;3;1;No
6313.81;14.54;Summer;4.21;76;2;Atlantic seaboard;4;1;No
5835.11;23.25;Autumn;5.63;73;2;City bowl;4;1;Yes
5058.59;9.69;Summer;4.67;63;2;Atlantic seaboard;4;2;No
4005.36;15.96;Summer;4.3;74;2;Southern suburbs;4;1;No
5943.33;22.17;Spring;4.71;70;2;Southern suburbs;4;2;No
6289.09;17.09;Summer;4.03;63;3;Atlantic seaboard;5;2;No
4926.92;11.01;Summer;3.94;79;1;Atlantic seaboard;3;1;No
5830.64;16.77;Summer;3.47;66;1;Southern suburbs;3;2;No
6245.09;14.28;Autumn;2.99;55;1;Bloubergstrand region;3;1;No
5358.89;17.95;Autumn;4.36;66;3;Southern suburbs;6;2;No
7991.35;14.11;Summer;4.1;63;2;Atlantic seaboard;3;2;Yes
5526.06;14.24;Summer;4.12;75;3;Bloubergstrand region;6;3;Yes
4876.37;14.19;Summer;4.36;60;2;City bowl;4;2;No
4361.63;14.31;Autumn;3.83;66;3;Atlantic seaboard;6;3;Yes
3961.99;17.83;Autumn;4.56;82;2;Southern suburbs;4;2;No
5455.93;14.68;Autumn;3.92;71;2;Atlantic seaboard;4;1;No
5915.55;16.79;Summer;5.94;61;2;Atlantic seaboard;4;3;Yes
6220.5;14.95;Spring;4.06;87;1;City bowl;3;2;Yes
5409.2;17.47;Autumn;3.83;68;3;Bloubergstrand region;5;3;Yes
4322.61;23.02;Summer;5.55;73;1;City bowl;3;1;No
5841.09;15.96;Spring;3.82;69;2;Southern suburbs;4;2;Yes
6491.6;15.25;Summer;3.96;68;2;Bloubergstrand region;4;2;Yes
4575.24;15.67;Autumn;3.45;78;2;Bloubergstrand region;3;2;Yes
5367.48;14.13;Winter;4.07;62;2;Bloubergstrand region;4;2;No
2961.18;13.86;Winter;4.75;63;1;Bloubergstrand region;3;3;Yes
5870.22;13.6;Summer;2.95;60;1;Southern suburbs;3;1;No
4933.81;12.74;Summer;3.88;72;1;Southern suburbs;3;1;Yes
4723.45;15.98;Spring;5.21;76;3;Atlantic seaboard;6;2;Yes
6128.06;15.65;Summer;4.26;87;4;Southern suburbs;8;2;No
5817.23;12.15;Summer;3.27;52;1;Atlantic seaboard;2;2;No
7328.23;14.81;Spring;3.46;72;2;Atlantic seaboard;4;2;Yes
6549.58;13.2;Spring;4.2;76;2;City bowl;4;2;Yes
4482.8;18.6;Summer;5.34;72;2;Bloubergstrand region;4;1;No
7803.73;10.21;Summer;4.6;77;1;Bloubergstrand region;3;2;No
3720.62;14.99;Summer;2.9;88;4;Southern suburbs;6;2;No
3611.61;8.33;Spring;5.07;76;2;Bloubergstrand region;4;2;No
6358.37;18.8;Summer;5.13;71;2;Southern suburbs;4;1;No
5363.33;11.57;Autumn;2.86;62;2;Southern suburbs;4;2;Yes
5911.84;17;Autumn;4.95;78;2;Southern suburbs;4;2;Yes
4330.68;18.13;Winter;5.05;72;2;City bowl;4;3;Yes
3659.99;19.27;Summer;5.81;64;2;City bowl;2;2;Yes
5218.61;14.23;Autumn;5.4;72;2;Bloubergstrand region;4;1;No
6279.92;15.79;Summer;4.77;86;1;City bowl;3;2;No
5618.31;18.17;Autumn;4.68;78;2;City bowl;4;2;No
5784.41;11.95;Summer;3.9;62;2;Atlantic seaboard;4;1;No
8799.39;14.14;Spring;4.69;62;1;Southern suburbs;1;2;No
7617.67;12.72;Autumn;4.73;82;2;Bloubergstrand region;4;2;Yes
8498;10.96;Spring;3.17;75;2;Southern suburbs;4;1;Yes
6342.73;16.17;Summer;4.77;68;3;Atlantic seaboard;6;3;Yes
5432.6;15.84;Summer;5.17;80;3;City bowl;4;3;No
3652.17;15.07;Autumn;3.8;71;1;Southern suburbs;3;2;Yes
5638.23;8.54;Autumn;2.94;52;3;Southern suburbs;5;2;No
5683.2;15.65;Autumn;3.59;62;2;Bloubergstrand region;4;1;Yes
6581.46;14.93;Summer;3.38;66;2;Southern suburbs;4;2;Yes
4463.36;17.32;Summer;5.79;81;2;Atlantic seaboard;4;2;No
5939.58;13.42;Summer;5.14;71;3;Bloubergstrand region;5;3;Yes
6372.7;19.77;Spring;4.62;76;3;Southern suburbs;6;3;Yes
5365.07;14.3;Summer;4.32;74;3;Southern suburbs;6;2;Yes
8417.36;13.51;Spring;4.24;69;3;Bloubergstrand region;6;2;No
6231.45;14.24;Spring;4.75;61;1;Bloubergstrand region;3;2;No
7075.9;14.94;Autumn;3.89;72;3;Bloubergstrand region;6;2;Yes
5768.58;19.74;Summer;5.54;74;2;Atlantic seaboard;4;2;No
6771.45;16.29;Autumn;5.1;73;1;City bowl;2;1;Yes
3629.93;16.75;Autumn;4.56;68;1;City bowl;3;1;No
5087.15;9.94;Autumn;4.05;73;2;City bowl;4;1;No
5701.71;17.62;Autumn;4.34;69;2;Bloubergstrand region;4;2;No
6142.03;15.83;Spring;4.32;71;2;City bowl;4;3;No
4725.49;10.86;Summer;3.89;77;2;Bloubergstrand region;4;3;No
6255.58;14.05;Winter;4.17;66;2;Atlantic seaboard;4;2;No
5195.9;15.42;Winter;4.31;77;2;Southern suburbs;3;2;Yes
4466.26;14.68;Summer;4.1;62;2;City bowl;2;2;No
4073.39;15.58;Spring;4.07;73;1;Atlantic seaboard;3;1;Yes
7201.84;11.76;Summer;3.6;74;3;Southern suburbs;6;1;No
6871.49;14.54;Autumn;3.37;59;1;Bloubergstrand region;3;1;No
6719.96;17.32;Summer;4.9;77;2;City bowl;4;1;No
7144.56;15.42;Summer;4.98;83;4;City bowl;7;3;No
8244.73;5.12;Summer;3.58;57;3;City bowl;4;2;No
7404.35;18.26;Autumn;4.19;73;1;Southern suburbs;3;3;No
3740.91;16.67;Autumn;3.67;65;3;City bowl;6;3;Yes
4400.22;8.14;Summer;3.65;69;2;Bloubergstrand region;4;2;No
5470.4;18.17;Summer;5.91;89;2;Atlantic seaboard;4;2;Yes
8251.95;18.23;Summer;5.09;75;1;Atlantic seaboard;3;1;No
6902.56;17.43;Summer;4.85;63;2;Atlantic seaboard;0;1;No
4756.43;13.23;Autumn;4.83;80;3;Southern suburbs;6;2;No
5482.1;12.11;Autumn;5.42;80;3;Atlantic seaboard;6;2;No
6854.94;15.14;Autumn;4.41;71;2;City bowl;4;3;No
5634.13;17.47;Autumn;4.93;70;1;City bowl;3;3;Yes
4380.92;10.07;Spring;4.16;70;2;Atlantic seaboard;2;2;No
6589.14;10.85;Spring;4.71;80;3;City bowl;6;2;No
6024.61;17.39;Summer;4.59;68;2;City bowl;4;1;No
7480.35;15.69;Summer;4.46;71;1;City bowl;3;3;No
6320.23;12.65;Summer;3.22;64;3;City bowl;6;3;Yes
7239.02;12.57;Summer;3.72;63;1;Atlantic seaboard;3;1;No
4746.11;14.16;Summer;3.8;79;3;Atlantic seaboard;6;1;Yes
4696.73;16.3;Summer;5.24;75;2;City bowl;4;2;Yes
5174.01;13.18;Summer;4.75;77;2;Bloubergstrand region;4;3;Yes
5404.27;21.21;Summer;6.16;96;3;Atlantic seaboard;5;2;No
5775.87;13.59;Summer;4.61;68;3;City bowl;5;2;No
5493.98;16.46;Spring;4.56;71;3;Atlantic seaboard;6;2;Yes
4414.74;15.6;Summer;2.77;70;1;Southern suburbs;3;1;Yes
4619.48;17.17;Summer;4.29;81;2;City bowl;4;2;Yes
5231.44;14.07;Summer;2.77;55;1;City bowl;3;2;Yes
6191.45;12;Summer;4.49;74;3;Atlantic seaboard;3;2;No
5133.69;11.97;Autumn;4.83;76;2;Atlantic seaboard;2;2;Yes
4766.92;11;Summer;4.71;71;2;City bowl;4;2;No
3485.86;17.18;Summer;4.49;68;3;Bloubergstrand region;6;3;No
6148.52;21.1;Spring;4.61;70;2;Atlantic seaboard;4;2;No
4124.76;22.42;Summer;5.36;84;1;City bowl;3;2;Yes
5359.96;15.58;Spring;4.19;74;2;City bowl;2;2;No
6915.76;24.73;Spring;4.61;65;1;City bowl;3;2;No
9216.54;14.59;Summer;3.94;68;3;Southern suburbs;6;3;No
6956.21;11.8;Spring;3.55;52;2;Atlantic seaboard;4;2;No
6313.31;11.44;Spring;2.86;74;2;Southern suburbs;4;3;No
5371.33;19.09;Summer;4.03;66;1;Southern suburbs;3;1;No
3673.08;12.12;Summer;3.71;66;2;Southern suburbs;4;2;Yes
4570.6;15.06;Summer;5.38;78;2;City bowl;3;1;No
5579.23;18.77;Summer;4.37;78;1;Southern suburbs;3;2;Yes
6526.36;14.77;Autumn;3.26;53;1;City bowl;2;2;No
3801.67;18;Spring;5.78;74;2;City bowl;4;2;No
6317.28;22.21;Summer;4.42;73;2;Bloubergstrand region;4;2;No
6067.51;15.28;Summer;4.04;64;2;Atlantic seaboard;3;1;No
7046.1;12.4;Summer;4.32;71;2;Bloubergstrand region;4;2;No
7801.53;20;Spring;3.72;67;2;Southern suburbs;4;1;No
5566.37;13.55;Summer;3.47;73;2;City bowl;4;2;No
5437.99;15.27;Autumn;5.67;67;2;Atlantic seaboard;4;3;No
7553.18;15.99;Summer;3.4;66;2;City bowl;4;2;No
8083.46;12.42;Summer;4.7;55;1;Atlantic seaboard;2;1;Yes
5410.71;12.61;Summer;4.51;73;3;City bowl;5;2;No
5306.26;10.45;Spring;3.97;71;3;City bowl;6;3;No
4876.25;10.15;Summer;4.57;67;2;Bloubergstrand region;4;2;No
5752.91;14.1;Summer;6.08;80;2;Bloubergstrand region;4;3;No
6579.76;16.12;Summer;4.65;66;2;Atlantic seaboard;4;3;Yes
7505.82;15.95;Spring;3.44;70;1;Southern suburbs;3;2;No
9169.27;14.21;Autumn;3.99;68;1;Bloubergstrand region;3;2;Yes
